status;nome;cpf;idade;data_nascimento;cidade;regiao;renda_mensal;credito_tomado;flag_inadimplente;qtde_batalhas;nivel_risco;flag_inadimplente;valor_solicitado
Ativo;Shae Mormont;000.000.114-00;72;19623;Lannisporto;Oeste;12.600;5.500;Não;35;;Não;21000
Ativo;renly bolton;000.000.303-00;24;;Castelo Negro;Norte;29300;32000;Sim;26;;Sim;59000
Inativo;Grey Worm Hornwood;000.000.322-00;26;36540;Pedra do Dragão;TERRAS DA COROA;24000;52000 moedas;Não;30;;Não;62500
Ativo;Rhaegar Dayne;000.000.335-00;35;33309;Correrrio;Terras Fluviais;28500;R$ 48.500,00;Não;24;;Não;80500
Ativo;BRAN BOLTON;000.000.003-00;23;13/06/2003;Porto Real;Terras Da Coroa;17.900;28000;Não;41;;Não;52500
Inativo;Shae Tarly;000.000.235-00;33;33902;Jardim de Cima;campina;12500;51500;Sim;44;;Sim;24000
Ativo;Shae Mormont;000.000.307-00;63;11/09/1962;Dorne;Dorne;5500;R$ 41.000,00;Não;2;;Não;54500
Inativo;Melisandre Crakehall;000.000.260-00;31;05/07/1995;Pedra do Dragão;Terras da Coroa;16.400;45500 moedas;não;6;;não;49500
ATIVO;Sandor Westerling;000.000.008-00;71;03/10/1954;Atalaia da Água Cinzenta;gargalo;15100;N/A;Não;42;;Não;77000
Ativo;Petyr Snow;21900;67;21619;Ponta Tempestade;TERRAS DA TEMPESTADE;20200;6500;Não;1;;Não;98500
Ativo;Robert Tarth;000.000.001-00;27;08/05/1999;Winterfell;Norte;29700;12000;Não;37;;Não;49000
Ativo;Robb Greyjoy;000.000.227-00;25;14/06/2001;Fosso Cailin;Norte;25400;4000;Não;4;;Não;8500
Ativo;Yara  Marbrand;000.000.266-00;70;20533;Atalaia da Água Cinzenta;Gargalo;9100;40500;Não;35;;Não;53000
Inativo;Cersei  Marbrand;000.000.158-00;57;01/05/1969;Ilha dos Ursos;NORTE;9500;58000;Nao;23;;Nao;81500
Inativo;Melisandre Baratheon;000.000.020-00;58;25054;Porto Real;TERRAS DA COROA;R$ 4.500,00;R$ 20.000,00;Sim;9;;Sim;49000
Inativo;Yara Tallhart;6400;57;25206;Correrrio;terras fluviais;3400;0;Não;20;;Não;19500
Ativo;Gilly Mormont;000.000.220-00;65;26/03/1961;Jardim de Cima;campina;18.000;0;Não;27;;Não;38500
Ativo;Brienne Dondarrion;000.000.256-00;39;06/02/1987;Ilha dos Ursos;Norte;R$ 9.300,00;R$ 36.500,00;Não;;;Não;3000
Ativo;Missandei Glover;30500;62;23278;Castelo Negro;Norte;17000;64000;Sim;21;;Sim;19000
Inativo;Bronn Manderly;000.000.074-00;69;20785;Castelo Negro;NORTE;16000;R$ 48.000,00;Não;29;;Não;74500
Inativo;Aegon Florent;27100;55;23/11/1970;Meereen;Essos;6800;12000;Não;6;;Não;11000
Ativo;Daario  Dayne;000.000.144-00;25;15/05/2001;Solar do Entardecer;Terras da Tempestade;28200;0;Não;29;;Não;92500
Inativo;Roose Cerwyn;34900;32 anos;34387;Castelo Negro;Norte;20500;0;Não;41 batalhas;;Não;54500
Ativo;Roose Dondarrion;000.000.126-00;53;26620;Ninho da Águia;vale;R$ 21.300,00;79500;Não;18 batalhas;;Não;19000
Ativo;Stannis Greyjoy;000.000.236-00;69;03/05/1957;Pedra do Dragão | Terras da Coroa;;13800;62000;Não;31;;Não;60500
Ativo;Thoros Greyjoy;000.000.043-00;27;36316;Vilavelha;campina;10.700;60000 moedas;Não;44;;Não;48000
Ativo;Thoros Crakehall;19300;74;17/05/1952;Porto Real;terras da coroa;20700;R$ 17.500,00;Não;35;;Não;65000
ativo;Viserys  Umber;000.000.155-00;;39230;Jardim de Cima;Campina;18000 moedas;49.500;Não;25;;Não;46500
Inativo;Grey Worm Hornwood;000.000.322-00;26;36540;Pedra do Dragão;TERRAS DA COROA;24000;52000 moedas;Não;30;;Não;11500
Ativo;Cersei Greyjoy;000.000.265-00;47;17/12/1978;Dorne;Dorne;21300 moedas;62.000;Sim;37;;Sim;92500
Ativo;Tormund Tyrell;000.000.378-00;34;33746;Dorne;Dorne;28900;37000;Não;21;;Não;97500
Ativo;Bronn Stark;000.000.313-00;30;25/04/1996;Ilha dos Ursos;Norte;R$ 13.800,00;42000;;29;;;7000
Inativo;Tyrion Blackwood;000.000.100-00;67;04/05/1959;Atalaia da Água Cinzenta;Gargalo;15200;67500;Não;12;;Não;97500
Ativo;Brienne Westerling;000.000.379-00;59;16/04/1967;Atalaia da Água Cinzenta;;6600;50000;Sim;9;;Sim;25000
Inativo;Beric Manderly;24300;25;37131;Lannisporto;Oeste;R$ 24.500,00;N/A;0;0;;0;55000
Ativo;Jojen Hornwood;000.000.128-00;;32796;Pedra do Dragão;Terras da Coroa;28600;;Não;19;;Não;90000
Inativo;theon baelish;000.000.380-00;36;32914;Atalaia da Água Cinzenta;Gargalo;27600;37000;Não;15;;Não;41500
Inativo;Aegon Hornwood;17100;45;29506;Solar do Entardecer;Terras da Tempestade;5100;R$ 25.000,00;Não;29;;Não;88000
ATIVO;Ellaria Redwyne;000.000.093-00;56;25551;Dorne;Dorne;22.600;63000;Não;33;;Não;53000
Ativo;missandei redwyne;000.000.111-00;47;01/06/1979;Meereen;Essos;5000;75.500;Sim;2;;Sim;89500
Ativo;Jorah Hightower;000.000.007-00;44;28/04/1982;Correrrio;Terras Fluviais;21700;34500;NÃO;29;;NÃO;10500
Ativo;Eddard Payne;15900;26;08/09/1999;Correrrio;Terras Fluviais;9200 moedas;R$ 68.500,00;Não;27;;Não;7000
Inativo;CERSEI GLOVER;000.000.324-00;49;10/06/1977;Pyke;Ilhas De Ferro;21900;69000;Não;4 batalhas;;Não;80500
Ativo;Theon Karstark;000.000.296-00;71;20187;Braavos;Essos;29200;73500;Não;2;;Não;33000
Ativo;Jon Cerwyn;000.000.112-00;65;22314;Ponta Tempestade;Terras Da Tempestade;6100;40000;Não;13 batalhas;;Não;22500
Ativo;Jon Bolton;000.000.130-00;65;22297;Lannisporto;Oeste;27.300;48500;Não;29;;Não;94000
Ativo;Robert Stark;000.000.315-00;57;25350;Harrenhal;Terras Fluviais;20600;52500;;16;;;97000
Ativo;Tyrion Lannister;2800;24;37470;Solar do Entardecer;terras da tempestade;16900;42500;Sim;26 batalhas;;Sim;12500
Inativo;Eddard Greyjoy;000.000.238-00;55;07/10/1970;Meereen;Essos;;5000;Não;8;;Não;11000
Ativo;Thoros Greyjoy;000.000.374-00;67;23/01/1959;Atalaia da Água Cinzenta;gargalo;6400;1000;NÃO;27;;NÃO;50000
Ativo;Gilly Marbrand;15600;44;29843;Pedra do Dragão;Terras da Coroa;11300;55000;Não;38;;Não;68500
Ativo;Catelyn Lannister;000.000.110-00;33;34070;Solar do Entardecer;terras da tempestade;29300;69000;Sim;0;;Sim;4500
Ativo;Gendry Cerwyn;000.000.153-00;24;37394;Lannisporto | Oeste;;14200;71000;Não;10;;Não;91500
Ativo;Jon Dayne;31900;20;38678;Braavos;Essos;9.300;35.000;Não;5;;Não;10500
Inativo;Renly Blackwood;000.000.106-00;20;18/12/2005;Solar do Entardecer;TERRAS DA TEMPESTADE;12900;R$ 26.500,00;Não;13;;Não;2000
Ativo;Davos  Baratheon;000.000.055-00;;36337;Winterfell;Norte;22500;55500;Não;32;;Não;91500
Ativo;Bronn Crakehall;29500;68;16/09/1957;Atalaia da Água Cinzenta;GARGALO;3600 moedas;64500;Sim;32;;Sim;35500
Ativo;Jorah Marbrand;000.000.339-00;53;16/09/1972;Pedra do Dragão;TERRAS DA COROA;15500;;Não;16;;Não;41000
Ativo;Cersei Umber;000.000.058-00;62;;Jardim de Cima;Campina;1900;3500;Não;19;;Não;62000
Ativo;petyr yronwood;000.000.095-00;61;10/08/1965;Ilha dos Ursos;NORTE;7000;1500;Sim;32;;Sim;53000
Ativo;Robert Westerling;000.000.105-00;25;37118;Jardim de Cima;Campina;27300 moedas;1500;1;33;;1;14000
ativo;Jon Tarth;000.000.208-00;52;27088;Ponta Tempestade;Terras Da Tempestade;24900;0;Não;24 batalhas;;Não;16000
Inativo;Jaime Seaworth;000.000.263-00;33;33989;Porto Real;TERRAS DA COROA;23400;59000;sim;35;;sim;39000
Inativo;Jorah  Tyrell;000.000.229-00;48;28737;Porto Real;Terras da Coroa;12400;0;Não;25;;Não;65500
Inativo;Eddard Stark;000.000.015-00;55;28/07/1971;Ninho da Águia;VALE;29700 moedas;78000 moedas;Sim;14;;Sim;27000
Ativo;Lyanna Tarly;000.000.232-00;28;;Braavos;Essos;14500;39500;Não;18;;Não;32000
Ativo;Cersei Tarth;000.000.147-00;52;14/09/1973;Ilha dos Ursos;Norte;7300;74000 moedas;Não;40;;Não;34500
Ativo;Catelyn Mallister;000.000.062-00;63;26/12/1962;Castelo Negro | Norte;;11200;;;41;;;83500
Ativo;Brienne Mallister;000.000.202-00;53;25/06/1973;Ilha dos Ursos | Norte;;9500;66.500;Sim;38;;Sim;42500
Ativo;Stannis Crakehall;000.000.351-00;71;20275;Lannisporto;Oeste;14200;51000;Não;10;;Não;90500
Ativo;Jorah Marbrand;000.000.168-00;37;32414;Pedra do Dragão | Terras da Coroa;;12800;76500;Não;30 batalhas;;Não;95000
Ativo;Sansa Dondarrion;000.000.101-00;22;37936;Ninho da Águia;vale;4.100;2000;Não;8;;Não;4000
Ativo;Beric  Karstark;000.000.172-00;37;32680;Braavos;Essos;28900;71000;Não;28;;Não;36500
Ativo;Bran Umber;13200;29;35334;Pyke;Ilhas de Ferro;19500;R$ 57.000,00;Não;12;;Não;20500
Ativo;Thoros Yronwood;000.000.104-00;51;27/01/1975;Dorne;Dorne;26000;47500;Não;45;;Não;60500
Inativo;Davos Umber;000.000.353-00;74;23/02/1952;Lannisporto;Oeste;24000;35000;Não;6 batalhas;;Não;29500
Ativo;Aegon Redwyne;000.000.347-00;19;39016;Pyke;ILHAS DE FERRO;14.900;17000;Não;20;;Não;29500
Inativo;Robert Mallister;32700;57;15/06/1969;Braavos;ESSOS;28600;R$ 73.500,00;Não;29;;Não;93500
Inativo;MARGAERY DONDARRION;19200;50;27833;Correrrio | Terras Fluviais;;16200;R$ 25.000,00;NÃO;26;;NÃO;65000
Ativo;Robert Hornwood;28500;41 anos;31115;Castelo Negro;Norte;23100;36000;Não;19;;Não;37500
Ativo;Roose Bolton;13700;73;25/11/1952;Atalaia da Água Cinzenta;Gargalo;18100;0;Não;36;;Não;89000
Ativoo;Jon Hornwood;33100;;36759;Dorne;Dorne;23200;54500;1;26;;1;75000
Ativo;Shae  Dayne;000.000.312-00;25;23/09/2000;Ninho da Águia;Vale;22100;30500;Não;28 batalhas;;Não;48000
ATIVO;Petyr Swyft;000.000.275-00;36;33117;Atalaia da Água Cinzenta;Gargalo;11600;78500;Não;1;;Não;42000
Inativo;Jaime Bracken;16600;35;33417;Jardim de Cima;campina;R$ 12.400,00;0;Não;3;;Não;83500
Ativo;Rhaegar Mormont;000.000.109-00;64;18/07/1962;Fosso Cailin;norte;12700;0;Não;21;;Não;50500
Ativo;Jorah Florent;000.000.204-00;49;28147;Porto Real;Terras Da Coroa;28400;38.500;Nao;26 batalhas;;Nao;51000
Ativo;Asha Blackwood;000.000.085-00;50;06/05/1976;Dorne;Dorne;16100;8.000;Sim;30;;Sim;27000
;Gilly Swyft;000.000.261-00;;11/11/1990;Braavos;Essos;29900;R$ 64.500,00;Não;34;;Não;48500
Ativo;Bran Frey;000.000.189-00;39;10/07/1987;Ilha dos Ursos | Norte;;8000;69.000;Não;15;;Não;39500
ATIVO;Rickon Targaryen;000.000.298-00;19;13/10/2006;Ilha dos Ursos;Norte;4000 moedas;29.500;Sim;13;;Sim;5000
Inativo;Jeor Marbrand;000.000.073-00;63;05/10/1962;Braavos;ESSOS;29000;R$ 36.500,00;Não;38;;Não;68000
Ativo;Lyanna Westerling;17900;44;09/02/1982;Porto Real;;6700;16500;Sim;38;;Sim;15500
ATIVO;Jon Tarth;000.000.004-00;26;36671;Ponta Tempestade;terras da tempestade;25000;1000;Não;16;;Não;10500
Ativo;RENLY STARK;25200;44;10/05/1982;Braavos;Essos;9600;66.000;;11;;;4500
Ativo;olenna hornwood;29900;46 anos;;Castelo Negro;Norte;21300;60500;;15;;;74500
Ativo;Aegon Blackwood;000.000.118-00;69;21054;Jardim de Cima;Campina;23.800;N/A;;26;;;89000
Ativo;Brienne Glover;000.000.355-00;67;21522;Solar do Entardecer;Terras Da Tempestade;11300;49500;Não;12;;Não;34500
Ativo;Ellaria Cerwyn;000.000.019-00;51 anos;15/12/1974;Dorne;Dorne;R$ 11.600,00;41000;Não;7 batalhas;;Não;67000
Ativo;Loras Lannister;000.000.302-00;49;03/11/1976;Pyke;Ilhas de Ferro;29800;54.500;Não;34;;Não;72000
Ativo;Beric Tyrell;000.000.103-00;20;28/08/2006;Fosso Cailin;Norte;18200;;Não;21;;Não;61500
Ativo;Thoros Crakehall;19300;74;17/05/1952;Porto Real;terras da coroa;20700;R$ 17.500,00;Não;35;;Não;68500
Inativo;Yara Tallhart;6400;57;25206;Correrrio;terras fluviais;3400;23500;Não;20;;Não;50500
Ativo;Missandei Florent;000.000.282-00;56;25671;Harrenhal;Terras Fluviais;28300;56000;Não;6;;Não;84500
Ativo;Catelyn  Dayne;000.000.213-00;68;21/11/1957;Ponta Tempestade;Terras da Tempestade;24500;16500;Não;22;;Não;34500
Inativo;LYANNA TARTH;000.000.345-00;73;;Castelo Negro;Norte;19900 moedas;47000;Não;19;;Não;20500
Ativo;Varys Lannister;000.000.367-00;67;08/11/1958;Pyke | Ilhas de Ferro;;21600 moedas;R$ 73.500,00;Sim;7;;Sim;24500
Ativo;Ellaria Targaryen;000.000.149-00;54;24/10/1971;Fosso Cailin;NORTE;18700;46000;Sim;4;;Sim;27500
Ativo;Bronn Royce;36900;61;23928;Solar do Entardecer;Terras da Tempestade;22900;7500;Não;12;;Não;33000
Ativo;Varys Lannister;000.000.010-00;60;08/11/1965;Ninho da Águia;vale;22600;80000 moedas;Não;9;;Não;58500
Ativo;Rickon Karstark;36000;26;17/02/2000;Castelo Negro | Norte;;4800;48500 moedas;Sim;6;;Sim;56500
Inativo;Bronn Baratheon;32500;48;28446;Pedra do Dragão;terras da coroa;6900;52500;Sim;0;;Sim;66000
Ativo;Jojen Dayne;000.000.199-00;69;;Solar do Entardecer;terras da tempestade;11400;0;sim;13;;sim;79000
Ativo;Podrick Dayne;22300;25;01/11/2000;Vilavelha;Campina;9.400;51500;Não;14;;Não;74000
Ativo;Sandor Clegane;000.000.164-00;62;23317;Winterfell;Norte;10500;0;Sim;4 batalhas;;Sim;54500
Ativo;Thoros Westerling;25700;27;36152;Jardim de Cima;CAMPINA;30000;27.000;não;28;;não;28500
Ativo;Stannis Westerling;000.000.071-00;;11/03/1995;Lannisporto;oeste;9000;66000;Não;24;;Não;72000
Inativo;Davos Tyrell;000.000.079-00;65;22275;Ninho da Águia;Vale;3300;43500;Não;27 batalhas;;Não;23500
Ativo;Melisandre Cerwyn;000.000.120-00;29;23/11/1996;Atalaia da Água Cinzenta;;6400 moedas;19500;Não;30;;Não;51000
Ativo;Thoros  Frey;000.000.113-00;55;25844;Jardim de Cima;CAMPINA;17.400;R$ 75.500,00;Não;9;;Não;52000
Inativo;Missandei Glover;34000;38;07/12/1987;Ponta Tempestade;TERRAS DA TEMPESTADE;15.800;14500;Não;4;;Não;21000
Ativo;Gilly Glover;2200;58;24840;Atalaia da Água Cinzenta;gargalo;R$ 2.800,00;R$ 35.000,00;Não;36;;Não;9000
Ativo;Robb Reed;000.000.246-00;;19/06/1997;Harrenhal;Terras Fluviais;9600;R$ 41.000,00;Não;27;;Não;25000
Inativo;Petyr Mallister;11600;;32890;Correrrio;terras fluviais;28.100;36.500;Não;13;;Não;5000
Inativo;Cersei Tarth;20300;46;25/07/1980;Harrenhal;TERRAS FLUVIAIS;;37500;Não;;;Não;77000
Inativo;loras payne;000.000.027-00;30;15/05/1996;Braavos;ESSOS;26500;14500;0;15;;0;39000
Ativo;Rickon Frey;000.000.013-00;60;24202;Solar do Entardecer;Terras da Tempestade;R$ 5.500,00;0;Nao;26;;Nao;52500
Ativo;Loras  Tarth;000.000.286-00;43;30437;Porto Real;Terras da Coroa;14600;18500;sim;22;;sim;16500
Ativoo;Jon Hornwood;33100;;36759;Dorne;Dorne;23200;54500;1;26;;1;39500
Ativo;Meera Reed;000.000.314-00;53;12/10/1972;Fosso Cailin;Norte;12200;R$ 79.500,00;Nao;45;;Nao;62000
Ativoo;Theon Frey;000.000.123-00;19;07/05/2007;Monte Chifre;Campina;R$ 7.200,00;16000;Não;5;;Não;52000
Inativo;Renly Tallhart;11700;27;36151;Winterfell;Norte;R$ 25.900,00;0;Sim;10;;Sim;5000
Ativo;Yara Mallister;000.000.134-00;44;29892;Lannisporto;Oeste;20600;8000;Não;39;;Não;36000
Ativo;Grey Worm Targaryen;000.000.060-00;48;28689;Ponta Tempestade;Terras da Tempestade;R$ 18.700,00;11000;Não;28;;Não;18000
Ativo;Sandor Dondarrion;8200;20;38894;Ilha dos Ursos;norte;24900;0;Sim;14;;Sim;49500
Inativo;Robert Manderly;23000;53;26744;Pyke;Ilhas de Ferro;R$ 26.400,00;9500;não;21;;não;16000
Inativo;Margaery Tyrell;000.000.107-00;31;34824;Solar do Entardecer;Terras da Tempestade;R$ 29.500,00;5000;Não;22;;Não;18000
Ativo;DAARIO TARLY;000.000.046-00;32;34508;Dorne;Dorne;9800;0;Não;23;;Não;68000
Inativo;Tyrion Clegane;000.000.281-00;51;27590;Monte Chifre;Campina;11400 moedas;0;Não;17;;Não;55500
;Viserys Hightower;000.000.080-00;54;14/04/1972;Monte Chifre;Campina;20800 moedas;16000 moedas;Nao;32;;Nao;31500
Inativo;Aegon Umber;000.000.356-00;66;04/07/1960;Meereen;ESSOS;16800;79500;Não;36;;Não;1500
Inativo;Cersei Tarth;20300;46;25/07/1980;Harrenhal;TERRAS FLUVIAIS;;37500;Não;;;Não;21500
Ativo;Melisandre Glover;000.000.329-00;22;05/08/2004;Ninho da Águia;Vale;10500;50.500;Não;16;;Não;41500
Ativo;Jon Baelish;21400;67;19/05/1959;Meereen;Essos;10700;R$ 9.000,00;Não;37;;Não;53000
Ativo;Bran Tarly;000.000.269-00;53;06/05/1973;Braavos;Essos;sem renda;R$ 21.500,00;Sim;44;;Sim;3500
Inativo;Eddard Dayne;3200;31;34746;Braavos;ESSOS;R$ 18.200,00;78500;Não;9;;Não;73000
Ativo;Thoros Tarth;000.000.280-00;41;31156;Fosso Cailin;NORTE;R$ 26.500,00;29500 moedas;Não;5;;Não;75000
Inativo;Renly Bolton;20600;55;26075;Ninho da Águia;Vale;R$ 21.100,00;67.500;Não;15;;Não;20000
Ativo;Rhaegar Payne;000.000.253-00;60;24272;Monte Chifre;CAMPINA;17300;R$ 15.000,00;Não;17;;Não;69000
Ativo;Bronn Dondarrion;000.000.036-00;49;11/01/1977;Jardim de Cima;campina;20300;12.000;Sim;27;;Sim;67500
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
